"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","error","boostperm","bfs","sat-loop","2147483647","szymanski.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","error","boostperm","bfs","sat-loop","2147483647","resistance.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","2147483647","plc.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4928","","","","","","","","",
"performance","ootime","explore","chain","sat-loop","2147483647","elevator.5","dve2C","tg,bs,hf","0.000","","","","","","54","68","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","peterson.5","dve2C","tg,bs,hf","0.000","","","","","","20","28","2688","2688","13.180","131064750","10285","798","762","28983","13.19","3066976","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","2147483647","brp2.6","dve2C","tg,bs,hf","0.000","","","","","","19","33","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","elevator.3","dve2C","tg,bs,hf","0.000","","","","","","38","52","2964","2964","18.940","416935","156712","1605","3030","15660","19.01","2983148","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","brp2.1","dve2C","tg,bs,hf","0.000","","","","","","19","33","4158","4158","3.660","42285","27630","3911","6343","15670","3.69","2903196","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","2147483647","sokoban.3","dve2C","tg,bs,hf","0.020","","","","","","213","9","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","peterson.7","dve2C","tg,bs,hf","0.000","","","","","","25","35","3185","3185","105.460","142471098","64853","5334","5534","159088","105.49","3675276","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","schedule_world.1","dve2C","tg,bs,hf","0.000","","","","","","22","26","182","182","0.070","23061","703","253","319","382","0.08","2892944","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","bopdp.3","dve2C","tg,bs,hf","0.000","","","","","","26","79","10665","10665","3.950","1040953","5313","360","3359","5329","3.95","2917704","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","pouring.2","dve2C","tg,bs,hf","0.540","","","","","","7","1724","10344","10344","1.120","51624","78","6896","35512","177564","1.70","2913640","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","hanoi.1","dve2C","tg,bs,hf","0.000","","","","","","36","6","582","582","2.320","6561","15950","75335","52146","39366","2.37","2915480","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","2147483647","firewire_tree.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.06","12680","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","2147483647","hanoi.4","dve2C","tg,bs,hf","0.000","","","","","","63","6","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","exit.2","dve2C","tg,bs,hf","0.000","","","","","","28","89","890","890","0.240","33670","3289","656","5116","21106","0.27","2895128","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","2147483647","hanoi.2","dve2C","tg,bs,hf","0.010","","","","","","48","6","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","2147483647","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","at.1","dve2C","tg,bs,hf","0.000","","","","","","10","43","1032","1032","0.250","39354","2491","230","735","1339","0.27","2866972","","","","","","","","",
