"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","peak.nodes","timeBest","memBest","timeMark","memMark"
"2D8_gradient_10x10_50","pnml","bfs","none",,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-like",1,79.215,5.83489360085797,10,130050,46.255,130050,1.71257161387958,1
"2D8_gradient_10x10_50","pnml","bfs","sat-like",5,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-like",10,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-like",20,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-like",40,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-like",80,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-like",2147483647,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-loop",1,1531.573,565.899518486571,2,,46.255,130050,33.1115122689439,
"2D8_gradient_10x10_50","pnml","bfs","sat-loop",5,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-loop",10,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-loop",20,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-loop",40,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-loop",80,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs","sat-loop",2147483647,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","none",,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-like",1,68.36,7.95022291790893,10,130050,46.255,130050,1.47789428169928,1
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-like",5,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-like",10,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-like",20,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-like",40,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-like",80,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-like",2147483647,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-loop",1,1658.398,447.784841235163,1,,46.255,130050,35.8533780131878,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-loop",5,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-loop",10,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-loop",20,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-loop",40,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-loop",80,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","bfs-prev","sat-loop",2147483647,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","none",,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-like",1,50.415,2.35558556060554,10,130050,46.255,130050,1.08993622311102,1
"2D8_gradient_10x10_50","pnml","chain","sat-like",5,166.349,7.37908824539545,10,135695,46.255,130050,3.59634634093611,1.04340638216071
"2D8_gradient_10x10_50","pnml","chain","sat-like",10,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-like",20,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-like",40,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-like",80,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-like",2147483647,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-loop",1,1659.487,444.341120863239,1,143782,46.255,130050,35.8769214139012,1.10559015763168
"2D8_gradient_10x10_50","pnml","chain","sat-loop",5,1666.647,421.699212816434,1,,46.255,130050,36.0317154902173,
"2D8_gradient_10x10_50","pnml","chain","sat-loop",10,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-loop",20,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-loop",40,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-loop",80,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain","sat-loop",2147483647,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","none",,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-like",1,46.255,2.52420394492116,10,130050,46.255,130050,1,1
"2D8_gradient_10x10_50","pnml","chain-prev","sat-like",5,192.78,8.60450140591797,10,135695,46.255,130050,4.16776564695709,1.04340638216071
"2D8_gradient_10x10_50","pnml","chain-prev","sat-like",10,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-like",20,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-like",40,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-like",80,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-like",2147483647,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-loop",1,1655.195,457.913616580682,1,,46.255,130050,35.7841314452492,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-loop",5,1683.245,369.211728212959,1,,46.255,130050,36.3905523727165,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-loop",10,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-loop",20,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-loop",40,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-loop",80,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_10x10_50","pnml","chain-prev","sat-loop",2147483647,1800,0,0,,46.255,130050,38.9147119230353,
"2D8_gradient_20x20_10","pnml","bfs","none",,1800,0,0,,30.428,26290,59.1560404890233,
"2D8_gradient_20x20_10","pnml","bfs","sat-like",1,111.753,5.73203289515257,10,26290,30.428,26290,3.67270277376101,1
"2D8_gradient_20x20_10","pnml","bfs","sat-like",5,67.168,3.77281445195611,10,26290,30.428,26290,2.20744051531484,1
