"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","done","","chain","sat-like","2147483647","true","true","CircularTrain-096.pnml","192","96","384","0","tg,bs,hf","0.010","192","96","4704","4704","45.310","2.59130027829661e+21","16297","896","1102","928","45.33","3131256",
"performance","done","","chain","sat-like","2147483647","true","true","RAS-C-15.pnml","90","60","264","0","tg,bs,hf","0.000","90","60","240","240","0.040","578878464","768","528","908","746","0.05","2810372",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","QCertifProtocol_22-unfold.pnml","1966","356","4323","0","tg,bs,hf","0.500","1966","356","","","","","","","","","123.12","3872328","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","true","true","PolyORB-LF-S06-J06-T08-unfolded.pnml","894","14334","119772","0","tg,bs,hf","1041.180","894","14334","","","","","","","","","1796.90","3253700","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","shared_memory-pt-5.pnml","41","55","200","0","tg,bs,hf","0.010","41","55","165","165","0.010","1863","464","390","539","340","0.03","2797596",
"performance","done","","chain","sat-like","2147483647","true","true","rwmutex-r20w10.pnml","80","60","560","0","tg,bs,hf","0.010","80","60","120","120","16.680","1048586","1608","1120","1550","20971660","16.70","2891548",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","PolyORB-LF-S04-J04-T10-unfolded.pnml","870","5034","34774","0","tg,bs,hf","49.690","870","5034","","","","","","","","","1795.60","3170128","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","true","true","BridgeAndVehicles-V80-P50-N20-unfolded.pnml","198","3728","28830","0","tg,bs,hf","18.790","198","3728","","","","","","","","","1795.25","3990928","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","RAS-R-100.pnml","400","202","1000","0","tg,bs,hf","0.010","400","202","","","","","","","","","1766.37","3948316","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","TokenRing-30-unfolded.pnml","961","27931","111724","0","tg,bs,hf","97.840","961","27931","","","","","","","","","1796.31","3684800","","","","","","",
"statistics","error","boostperm","bfs","sat-like","2147483647","true","true","eratosthenes-050.pnml","49","108","324","0","tg,bs,hf","","","","","","","","","","","","0.02","92","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","Peterson-6.pnml","1330","2030","6272","0","tg,bs,hf","0.770","1330","2030","","","","","","","","","1792.19","3963836","","","","","","",
"performance","sigsegfault","sendinfo","bfs-prev","sat-like","2147483647","true","true","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","39.15","158672","","","","","","",
"performance","ootime","regroup","bfs","sat-like","2147483647","true","true","galloc_res-5.pnml","75","56105","492760","0","tg,bs,hf","","","","","","","","","","","","1797.50","1043604","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","erk-000001.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","55","55","0.000","13","27","68","79","43","0.00","1667848",
"performance","done","","chain","sat-like","2147483647","true","true","SwimmingPool-1.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","168","168","0.200","89621","6729","1705","1365","5327","0.20","2888664",
"performance","oomem","mddtable","chain-prev","sat-like","2147483647","true","true","echo-d2r11.pnml","1119","874","4996","0","tg,bs,hf","0.220","1119","874","","","","","","","","","1084.43","3948840","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","true","true","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","198","198","0.010","1501","349","248","248","208","0.01","2515872",
"performance","done","","bfs-prev","sat-like","2147483647","true","true","TokenRing-10-unfolded.pnml","121","1111","4444","0","tg,bs,hf","0.260","121","1111","144430","144430","5.560","58905","3160","2040","8696","5838","5.89","2922128",
"performance","ootime","explore","chain-prev","sat-like","2147483647","true","true","BridgeAndVehicles-V20-P10-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.310","68","548","","","","","","","","","1793.34","3934852","","","","","","",
"performance","oomem","mddtable","bfs-prev","sat-like","2147483647","true","true","echo-d3r3.pnml","265","206","1252","0","tg,bs,hf","0.030","265","206","","","","","","","","","1631.22","3945488","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","2D8_gradient_5x5_350.pnml","25","144","288","0","tg,bs,hf","0.000","25","144","","","","","","","","","1787.65","3941932","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","Kanban-100.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1757.94","3941300","","","","","","",
"performance","done","","bfs","sat-like","2147483647","true","true","SwimmingPool-2.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","1407","1407","49.250","3408031","62174","6035","4735","35247","49.28","2958052",
