"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","chain-prev","sat-loop","5","peterson.7","dve2C","tg,bs,hf","0.000","","","","","","25","35","9923","9923","58.790","142471098","64853","5334","5534","159088","58.81","3343496","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","schedule_world.1","dve2C","tg,bs,hf","0.000","","","","","","22","26","317","317","0.060","23061","703","253","319","382","0.07","2890924","","","","","","","","",
"performance","done","","bfs","sat-loop","5","bopdp.3","dve2C","tg,bs,hf","0.000","","","","","","26","79","11415","11415","1.490","1040953","5313","360","3359","5329","1.49","2899268","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","pouring.2","dve2C","tg,bs,hf","0.590","","","","","","7","1724","11112","11112","0.620","51624","78","6896","35512","177564","1.28","2911256","","","","","","","","",
"performance","done","","chain","sat-loop","5","hanoi.1","dve2C","tg,bs,hf","0.000","","","","","","36","6","1677","1677","2.920","6561","15950","75335","52146","39366","2.97","2917500","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","5","firewire_tree.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.06","10628","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","5","hanoi.4","dve2C","tg,bs,hf","0.000","","","","","","63","6","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-loop","5","exit.2","dve2C","tg,bs,hf","0.000","","","","","","28","89","1843","1843","0.550","33670","3289","656","5116","21106","0.57","2895132","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","5","hanoi.2","dve2C","tg,bs,hf","0.000","","","","","","48","6","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","5","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","chain","sat-loop","5","at.1","dve2C","tg,bs,hf","0.000","","","","","","10","43","2566","2566","0.280","39354","2491","230","735","1339","0.29","2892928","","","","","","","","",
"statistics","done","","chain-prev","sat-loop","5","sorter.4","dve2C","tg,bs,hf","0.010","229","16214","17392","11.913","12.651","26","58","38083","38083","41.790","13184427","29626","1262","2944","17685","41.99","3210640","46859","9766662","34515709","38214817","17030446","1212","22460186","","40783015",
"performance","done","","chain-prev","sat-loop","5","peg_solitaire.1","dve2C","tg,bs,hf","0.010","","","","","","18","48","336","336","3.670","32181","8621","176220","413808","1544688","3.76","2968820","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","5","elevator.5","dve2C","tg,bs,hf","0.000","","","","","","54","68","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","extinction.3","dve2C","tg,bs,hf","0.000","","","","","","49","112","4609","4609","3.000","751930","29219","1039","3368","4858","3.01","2909932","","","","","","","","",
